time	distance
2014.6232959632	0
2014.63603844231	0
2014.64878092142	0
2014.66152340054	0
2014.67426587965	0
2014.68700835876	0
2014.69975083787	0
2014.71249331698	0
2014.72523579609	0
2014.73797827521	0
2014.75072075432	0
2014.76346323343	0
2014.77620571254	0
2014.78894819165	0
2014.80169067077	0
2014.81443314988	0
2014.82717562899	0
2014.8399181081	0
2014.85266058721	0
2014.86540306633	0
2014.87814554544	0
2014.89088802455	0
2014.90363050366	0
2014.91637298277	0
2014.92911546188	0
2014.941857941	0
2014.95460042011	0
2014.96734289922	0
2014.98008537833	0
2014.99282785744	0
2015.00557033656	0
2015.01831281567	0
2015.03105529478	0
2015.04379777389	0
2015.056540253	0
2015.06928273212	0
2015.08202521123	0
2015.09476769034	0
2015.10751016945	0
2015.12025264856	0
2015.13299512767	0
2015.14573760679	0
2015.1584800859	0
2015.17122256501	0
2015.18396504412	0
2015.19670752323	0
2015.20945000235	0
2015.22219248146	0
2015.23493496057	0
2015.24767743968	0
2015.26041991879	0
2015.2731623979	0
2015.28590487702	0
2015.29864735613	0
2015.31138983524	0
2015.32413231435	0
2015.33687479346	0
2015.34961727258	0
2015.36235975169	0
2015.3751022308	0
2015.38784470991	0
2015.40058718902	0
2015.41332966814	0
2015.42607214725	0
2015.43881462636	0
2015.45155710547	0
2015.46429958458	0
2015.47704206369	0
2015.48978454281	0
2015.50252702192	0
2015.51526950103	0
2015.52801198014	0
2015.54075445925	0
2015.55349693837	0
2015.56623941748	0
2015.57898189659	0
2015.5917243757	0
2015.60446685481	0
2015.61720933393	0
2015.62995181304	0
2015.64269429215	0
2015.65543677126	0
2015.66817925037	0
2015.68092172948	0
2015.6936642086	0
2015.70640668771	0
2015.71914916682	0
2015.73189164593	0
2015.74463412504	0
2015.75737660416	0
2015.77011908327	0
2015.78286156238	0
2015.79560404149	0
2015.8083465206	0
2015.82108899971	0
2015.83383147883	0
2015.84657395794	0
2015.85931643705	0
2015.87205891616	0
2015.88480139527	0
2015.89754387439	0
2015.9102863535	0
2015.92302883261	0
2015.93577131172	0
2015.94851379083	0
2015.96125626995	0
2015.97399874906	0
2015.98674122817	0
2015.99948370728	0
2016.01222618639	0
2016.0249686655	0
2016.03771114462	0
2016.05045362373	0
2016.06319610284	0
2016.07593858195	0
2016.08868106106	0
2016.10142354018	0
2016.11416601929	0
2016.1269084984	0
2016.13965097751	0
2016.15239345662	0
2016.16513593574	0
2016.17787841485	0
2016.19062089396	0
2016.20336337307	0
2016.21610585218	0
2016.22884833129	0
2016.24159081041	0
2016.25433328952	0
2016.26707576863	0
2016.27981824774	0
2016.29256072685	0
2016.30530320597	0
2016.31804568508	0
2016.33078816419	0
2016.3435306433	0
2016.35627312241	0
2016.36901560152	0
2016.38175808064	0
2016.39450055975	0
2016.40724303886	0
2016.41998551797	0
2016.43272799708	0
2016.4454704762	0
2016.45821295531	0
2016.47095543442	0
2016.48369791353	0
2016.49644039264	0
2016.50918287176	0
2016.52192535087	0
2016.53466782998	0
2016.54741030909	0
2016.5601527882	0
2016.57289526731	0
2016.58563774643	0
2016.59838022554	0
2016.61112270465	0
2016.62386518376	0
2016.63660766287	0
2016.64935014199	0
2016.6620926211	0
2016.67483510021	0
2016.68757757932	0
2016.70032005843	0
2016.71306253755	0
2016.72580501666	0
2016.73854749577	0
2016.75128997488	0
2016.76403245399	0
2016.7767749331	0
2016.78951741222	0
2016.80225989133	0
