Entity;Code;Day;stringency_index
Ecuador;ECU;13.01.2021;69
Ecuador;ECU;14.01.2021;69
Ecuador;ECU;15.01.2021;69
Ecuador;ECU;16.01.2021;69
Ecuador;ECU;17.01.2021;69
Ecuador;ECU;18.01.2021;69
Ecuador;ECU;19.01.2021;69
Ecuador;ECU;20.01.2021;69
Ecuador;ECU;21.01.2021;69
Ecuador;ECU;22.01.2021;69
Ecuador;ECU;23.01.2021;69
Ecuador;ECU;24.01.2021;69
Ecuador;ECU;25.01.2021;69
Ecuador;ECU;26.01.2021;69
Ecuador;ECU;27.01.2021;69
Ecuador;ECU;28.01.2021;69
Ecuador;ECU;29.01.2021;69
Ecuador;ECU;30.01.2021;69
Ecuador;ECU;31.01.2021;69
Ecuador;ECU;01.02.2021;69
Ecuador;ECU;02.02.2021;69
Ecuador;ECU;03.02.2021;69
Ecuador;ECU;04.02.2021;69
Ecuador;ECU;05.02.2021;69
Ecuador;ECU;06.02.2021;69
Ecuador;ECU;07.02.2021;69
Ecuador;ECU;08.02.2021;69
Ecuador;ECU;09.02.2021;69
Ecuador;ECU;10.02.2021;69
Ecuador;ECU;11.02.2021;69
Ecuador;ECU;12.02.2021;69
Ecuador;ECU;13.02.2021;69
Ecuador;ECU;14.02.2021;69
Ecuador;ECU;15.02.2021;69
Ecuador;ECU;16.02.2021;69
Ecuador;ECU;17.02.2021;69
Ecuador;ECU;18.02.2021;69
Ecuador;ECU;19.02.2021;69
Ecuador;ECU;20.02.2021;69
Ecuador;ECU;21.02.2021;69
Ecuador;ECU;22.02.2021;67
Ecuador;ECU;23.02.2021;67
Ecuador;ECU;24.02.2021;67
Ecuador;ECU;25.02.2021;67
Ecuador;ECU;26.02.2021;67
Ecuador;ECU;27.02.2021;67
Ecuador;ECU;28.02.2021;63
Ecuador;ECU;01.03.2021;63
Ecuador;ECU;02.03.2021;63
Ecuador;ECU;03.03.2021;63
Ecuador;ECU;04.03.2021;63
Ecuador;ECU;05.03.2021;63
Ecuador;ECU;06.03.2021;63
Ecuador;ECU;07.03.2021;63
Ecuador;ECU;08.03.2021;63
Ecuador;ECU;09.03.2021;59
Ecuador;ECU;10.03.2021;59
Ecuador;ECU;11.03.2021;59
Ecuador;ECU;12.03.2021;59
Ecuador;ECU;13.03.2021;59
Ecuador;ECU;14.03.2021;59
Ecuador;ECU;15.03.2021;59
Ecuador;ECU;16.03.2021;59
Ecuador;ECU;17.03.2021;59
Ecuador;ECU;18.03.2021;59
Ecuador;ECU;19.03.2021;59
Ecuador;ECU;20.03.2021;59
Ecuador;ECU;21.03.2021;59
Ecuador;ECU;22.03.2021;57
Ecuador;ECU;23.03.2021;57
Ecuador;ECU;24.03.2021;57
Ecuador;ECU;25.03.2021;57
Ecuador;ECU;26.03.2021;57
Ecuador;ECU;27.03.2021;57
Ecuador;ECU;28.03.2021;57
Ecuador;ECU;29.03.2021;57
Ecuador;ECU;30.03.2021;57
Ecuador;ECU;31.03.2021;57
Ecuador;ECU;01.04.2021;65
Ecuador;ECU;02.04.2021;65
Ecuador;ECU;03.04.2021;65
Ecuador;ECU;04.04.2021;65
Ecuador;ECU;05.04.2021;65
Ecuador;ECU;06.04.2021;65
Ecuador;ECU;07.04.2021;65
Ecuador;ECU;08.04.2021;65
Ecuador;ECU;09.04.2021;65
Ecuador;ECU;10.04.2021;65
Ecuador;ECU;11.04.2021;65
Ecuador;ECU;12.04.2021;65
Ecuador;ECU;13.04.2021;65
Ecuador;ECU;14.04.2021;65
Ecuador;ECU;15.04.2021;65
Ecuador;ECU;16.04.2021;65
Ecuador;ECU;17.04.2021;65
Ecuador;ECU;18.04.2021;65
Ecuador;ECU;19.04.2021;65
Ecuador;ECU;20.04.2021;65
Ecuador;ECU;21.04.2021;65
Ecuador;ECU;22.04.2021;65
Ecuador;ECU;23.04.2021;75
Ecuador;ECU;24.04.2021;75
Ecuador;ECU;25.04.2021;75
Ecuador;ECU;26.04.2021;75
Ecuador;ECU;27.04.2021;75
Ecuador;ECU;28.04.2021;75
Ecuador;ECU;29.04.2021;75
Ecuador;ECU;30.04.2021;75
Ecuador;ECU;01.05.2021;75
Ecuador;ECU;02.05.2021;75
Ecuador;ECU;03.05.2021;75
Ecuador;ECU;04.05.2021;75
Ecuador;ECU;05.05.2021;75
Ecuador;ECU;06.05.2021;75
Ecuador;ECU;07.05.2021;75
Ecuador;ECU;08.05.2021;75
Ecuador;ECU;09.05.2021;75
Ecuador;ECU;10.05.2021;75
Ecuador;ECU;11.05.2021;75
Ecuador;ECU;12.05.2021;75
Ecuador;ECU;13.05.2021;75
Ecuador;ECU;14.05.2021;75
Ecuador;ECU;15.05.2021;75
Ecuador;ECU;16.05.2021;75
Ecuador;ECU;17.05.2021;75
Ecuador;ECU;18.05.2021;75
Ecuador;ECU;19.05.2021;75
Ecuador;ECU;20.05.2021;75
Ecuador;ECU;21.05.2021;76
Ecuador;ECU;22.05.2021;76
Ecuador;ECU;23.05.2021;76
Ecuador;ECU;24.05.2021;76
Ecuador;ECU;25.05.2021;76
Ecuador;ECU;26.05.2021;60
Ecuador;ECU;27.05.2021;60
Ecuador;ECU;28.05.2021;60
Ecuador;ECU;29.05.2021;60
Ecuador;ECU;30.05.2021;60
Ecuador;ECU;31.05.2021;60
Ecuador;ECU;01.06.2021;60
Ecuador;ECU;02.06.2021;60
Ecuador;ECU;03.06.2021;60
Ecuador;ECU;04.06.2021;60
Ecuador;ECU;05.06.2021;60
Ecuador;ECU;06.06.2021;60
Ecuador;ECU;07.06.2021;60
Ecuador;ECU;08.06.2021;60
Ecuador;ECU;09.06.2021;60
Ecuador;ECU;10.06.2021;60
Ecuador;ECU;11.06.2021;60
Ecuador;ECU;12.06.2021;60
Ecuador;ECU;13.06.2021;60
Ecuador;ECU;14.06.2021;60
Ecuador;ECU;15.06.2021;60
Ecuador;ECU;16.06.2021;60
Ecuador;ECU;17.06.2021;60
Ecuador;ECU;18.06.2021;60
Ecuador;ECU;19.06.2021;60
Ecuador;ECU;20.06.2021;60
Ecuador;ECU;21.06.2021;60
Ecuador;ECU;22.06.2021;60
Ecuador;ECU;23.06.2021;60
Ecuador;ECU;24.06.2021;60
Ecuador;ECU;25.06.2021;60
Ecuador;ECU;26.06.2021;55
Ecuador;ECU;27.06.2021;55
Ecuador;ECU;28.06.2021;55
Ecuador;ECU;29.06.2021;55
Ecuador;ECU;30.06.2021;55
Ecuador;ECU;01.07.2021;58
Ecuador;ECU;02.07.2021;58
Ecuador;ECU;03.07.2021;58
Ecuador;ECU;04.07.2021;58
Ecuador;ECU;05.07.2021;58
Ecuador;ECU;06.07.2021;58
Ecuador;ECU;07.07.2021;58
Ecuador;ECU;08.07.2021;58
Ecuador;ECU;09.07.2021;58
Ecuador;ECU;10.07.2021;58
Ecuador;ECU;11.07.2021;58
Ecuador;ECU;12.07.2021;62
Ecuador;ECU;13.07.2021;62
Ecuador;ECU;14.07.2021;62
Ecuador;ECU;15.07.2021;62
Ecuador;ECU;16.07.2021;62
Ecuador;ECU;17.07.2021;62
Ecuador;ECU;18.07.2021;62
Ecuador;ECU;19.07.2021;62
Ecuador;ECU;20.07.2021;62
Ecuador;ECU;21.07.2021;62
Ecuador;ECU;22.07.2021;62
Ecuador;ECU;23.07.2021;62
Ecuador;ECU;24.07.2021;62
Ecuador;ECU;25.07.2021;62
Ecuador;ECU;26.07.2021;62
Ecuador;ECU;27.07.2021;62
Ecuador;ECU;28.07.2021;62
Ecuador;ECU;29.07.2021;62
Ecuador;ECU;30.07.2021;62
Ecuador;ECU;31.07.2021;62
Ecuador;ECU;01.08.2021;62
Ecuador;ECU;02.08.2021;62
Ecuador;ECU;03.08.2021;60
Ecuador;ECU;04.08.2021;60
Ecuador;ECU;05.08.2021;60
Ecuador;ECU;06.08.2021;60
Ecuador;ECU;07.08.2021;60
Ecuador;ECU;08.08.2021;60
Ecuador;ECU;09.08.2021;60
Ecuador;ECU;10.08.2021;60
Ecuador;ECU;11.08.2021;60
Ecuador;ECU;12.08.2021;60
Ecuador;ECU;13.08.2021;60
Ecuador;ECU;14.08.2021;60
Ecuador;ECU;15.08.2021;60
Ecuador;ECU;16.08.2021;65
Ecuador;ECU;17.08.2021;65
Ecuador;ECU;18.08.2021;65
Ecuador;ECU;19.08.2021;65
Ecuador;ECU;20.08.2021;65
Ecuador;ECU;21.08.2021;65
Ecuador;ECU;22.08.2021;65
Ecuador;ECU;23.08.2021;65
Ecuador;ECU;24.08.2021;65
Ecuador;ECU;25.08.2021;65
Ecuador;ECU;26.08.2021;65
Ecuador;ECU;27.08.2021;65
